rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
6,995,113.0,1,77,26,81.0
3,793,88.0,2,5,109,44.0
4,244,89.0,2,37,115,38.0
6,752,86.0,2,53,77,28.0
6,987,123.0,2,51,144,65.0
6,845,100.0,2,45,97,58.0
3,389,86.0,2,38,92,38.0
2,940,74.0,1,73,15,65.0
2,752,76.0,1,67,6,41.0
4,995,95.0,2,13,16,19.0
6,995,96.0,0,88,119,89.0
2,557,99.0,2,28,18,18.0
6,951,115.0,2,44,25,58.0
3,389,88.0,2,20,84,49.0
2,474,150.0,0,86,132,66.0
6,860,95.0,2,41,27,46.0
6,951,82.0,2,29,7,
2,951,117.0,1,71,55,65.0
4,752,105.0,2,31,16,41.0
4,1066,111.0,2,23,126,42.0
6,292,102.0,1,61,23,82.0
6,959,78.0,2,0,18,11.0
4,1033,88.0,2,10,118,30.0
6,0,104.0,2,29,17,29.0
4,951,109.0,2,29,21,75.0
6,54,92.0,1,74,34,73.0
3,951,118.0,2,40,20,82.0
6,465,145.0,1,87,15,68.0
2,940,80.0,1,79,24,85.0
6,1033,82.0,1,74,35,49.0
6,806,104.0,1,61,38,49.0
2,1072,164.0,1,78,9,71.0
4,860,107.0,2,44,187,67.0
6,860,99.0,2,36,83,34.0
2,940,111.0,1,72,18,82.0
2,1064,88.0,2,50,8,37.0
2,716,94.0,1,100,12,70.0
6,959,123.0,2,56,153,63.0
4,951,110.0,2,48,136,72.0
6,752,100.0,0,78,238,84.0
4,1033,103.0,2,11,62,34.0
4,557,131.0,0,80,108,92.0
2,782,103.0,1,100,10,67.0
2,615,,1,81,26,100.0
4,294,92.0,2,11,121,30.0
6,1064,106.0,2,50,22,36.0
6,752,90.0,2,5,80,30.0
6,995,96.0,2,16,37,41.0
6,954,84.0,1,70,30,31.0
4,995,109.0,1,71,7,58.0
4,300,106.0,2,20,25,43.0
2,313,91.0,2,33,12,32.0
6,782,96.0,2,27,33,21.0
2,806,95.0,1,61,23,44.0
2,557,95.0,2,0,6,38.0
6,557,125.0,2,45,42,63.0
2,940,100.0,0,95,66,85.0
6,1006,113.0,0,89,159,75.0
6,1033,87.0,1,94,17,62.0
2,557,117.0,1,81,26,72.0
2,641,125.0,0,94,65,94.0
3,860,96.0,2,28,18,22.0
2,696,62.0,2,40,5,12.0
3,990,107.0,2,24,121,36.0
6,884,90.0,0,78,60,76.0
4,579,107.0,0,84,64,79.0
3,951,79.0,1,65,20,35.0
6,560,133.0,0,81,114,75.0
6,123,108.0,1,91,22,60.0
2,940,83.0,2,56,9,49.0
6,1025,90.0,2,38,16,47.0
6,119,89.0,2,25,52,33.0
6,782,104.0,2,27,64,50.0
6,54,115.0,2,48,69,53.0
2,551,87.0,1,83,6,44.0
4,951,100.0,1,93,28,65.0
3,334,125.0,2,51,239,63.0
6,995,97.0,2,27,15,32.0
6,814,85.0,1,67,9,27.0
3,973,102.0,2,50,6,61.0
2,951,81.0,2,0,12,24.0
6,827,96.0,2,50,10,53.0
6,995,99.0,2,51,161,39.0
4,752,88.0,2,11,9,39.0
4,1054,98.0,1,81,36,46.0
2,541,84.0,1,73,11,87.0
2,903,104.0,1,73,15,80.0
6,752,79.0,1,80,5,43.0
0,206,141.0,1,71,38,57.0
6,951,95.0,2,30,37,58.0
6,1006,89.0,2,42,31,33.0
2,940,85.0,0,83,41,84.0
3,782,93.0,1,80,5,50.0
3,979,107.0,2,20,118,66.0
3,940,79.0,1,68,113,62.0
4,752,99.0,2,35,81,44.0
6,860,97.0,2,53,165,52.0
4,782,112.0,2,29,149,61.0
6,959,92.0,2,13,8,32.0
6,959,94.0,1,63,95,46.0
3,940,86.0,1,86,29,79.0
4,995,68.0,0,84,205,70.0
6,334,119.0,2,22,151,41.0
6,599,110.0,1,86,14,68.0
2,782,98.0,1,80,30,51.0
6,951,99.0,0,94,169,76.0
6,782,104.0,0,93,222,74.0
6,940,87.0,1,60,5,39.0
6,752,93.0,2,26,53,48.0
6,995,97.0,2,0,20,39.0
6,995,92.0,2,0,8,35.0
6,951,117.0,2,50,26,72.0
6,315,107.0,1,65,198,52.0
4,940,82.0,1,84,31,76.0
2,940,96.0,1,91,23,79.0
2,998,96.0,1,82,11,74.0
3,940,80.0,1,62,13,76.0
6,292,91.0,0,98,42,80.0
3,911,96.0,1,64,11,47.0
3,747,65.0,1,75,12,21.0
6,292,94.0,2,33,6,26.0
6,1033,101.0,2,0,5,21.0
0,1051,105.0,2,36,11,60.0
3,308,92.0,1,91,11,71.0
3,618,102.0,1,97,30,80.0
2,693,129.0,1,63,27,83.0
3,646,96.0,1,92,38,62.0
2,160,118.0,1,100,6,83.0
2,1010,120.0,0,95,64,90.0
2,951,93.0,1,82,22,46.0
4,782,105.0,2,31,13,43.0
6,292,112.0,2,42,12,52.0
6,195,95.0,1,67,6,43.0
3,752,98.0,2,44,16,69.0
3,712,90.0,1,100,29,90.0
3,712,116.0,0,97,64,91.0
6,579,99.0,1,67,6,26.0
2,160,123.0,1,90,10,
4,730,119.0,0,95,55,83.0
6,1033,93.0,1,71,31,75.0
3,320,97.0,2,40,30,45.0
2,129,122.0,1,100,11,67.0
6,292,125.0,2,52,21,55.0
6,282,165.0,1,69,26,64.0
6,995,102.0,2,48,21,40.0
2,712,86.0,1,86,21,65.0
4,782,95.0,2,21,24,43.0
2,716,123.0,1,100,9,67.0
2,727,70.0,2,38,13,45.0
2,452,103.0,0,95,44,87.0
0,693,73.0,1,100,12,38.0
6,292,1.0,1,80,10,53.0
2,626,103.0,1,95,22,86.0
6,712,120.0,1,86,14,49.0
3,279,130.0,1,78,18,72.0
6,292,130.0,1,69,32,67.0
3,1066,106.0,2,59,17,55.0
3,0,96.0,2,33,9,42.0
3,752,102.0,2,36,22,55.0
0,723,73.0,1,85,13,82.0
2,716,86.0,0,91,43,91.0
0,177,93.0,1,89,9,70.0
2,716,102.0,1,95,22,71.0
4,160,96.0,1,75,8,25.0
3,731,99.0,2,29,7,25.0
6,782,103.0,2,27,11,40.0
0,811,96.0,1,79,14,62.0
3,193,110.0,0,90,49,92.0
0,653,112.0,1,89,28,66.0
0,665,101.0,1,75,20,88.0
0,137,179.0,2,44,16,70.0
2,716,108.0,1,92,13,84.0
2,712,106.0,1,100,20,86.0
2,129,119.0,1,100,25,89.0
3,129,106.0,1,94,16,89.0
6,650,80.0,1,86,35,73.0
6,1025,98.0,0,92,66,77.0
3,716,102.0,0,98,83,95.0
0,130,150.0,2,26,38,35.0
2,730,70.0,1,94,16,74.0
3,689,108.0,1,97,35,92.0
6,966,73.0,0,93,46,73.0
6,959,119.0,1,61,46,45.0
2,712,90.0,1,100,8,78.0
3,1019,123.0,2,38,21,82.0
2,689,99.0,1,93,14,74.0
0,637,115.0,1,95,39,92.0
0,419,93.0,1,76,21,67.0
2,689,135.0,1,83,6,74.0
6,752,95.0,2,20,5,18.0
6,878,93.0,2,36,25,40.0
3,951,108.0,1,75,12,79.0
0,702,99.0,1,100,12,74.0
0,618,101.0,1,88,17,75.0
3,793,93.0,0,89,57,88.0
2,725,130.0,2,55,20,25.0
0,689,246.0,1,61,36,69.0
2,667,88.0,1,89,18,73.0
6,279,120.0,1,81,32,72.0
3,327,113.0,1,80,25,66.0
6,0,90.0,1,70,33,67.0
3,279,106.0,2,43,14,73.0
2,264,101.0,1,80,5,28.0
2,689,104.0,1,86,7,78.0
2,661,107.0,1,95,19,70.0
0,676,79.0,1,85,33,73.0
6,951,99.0,1,73,15,82.0
6,786,91.0,2,25,8,22.0
2,635,110.0,1,76,17,70.0
0,689,72.0,1,80,5,61.0
6,951,120.0,1,93,30,83.0
2,995,85.0,1,67,6,57.0
2,438,124.0,1,69,13,71.0
2,1025,96.0,1,83,36,75.0
0,719,92.0,0,95,55,87.0
2,689,138.0,1,100,10,89.0
6,223,97.0,2,11,9,49.0
2,712,100.0,1,67,6,67.0
3,951,130.0,1,67,21,81.0
3,1020,135.0,1,100,8,75.0
6,598,89.0,1,60,10,65.0
2,712,112.0,1,86,7,79.0
2,727,80.0,2,20,5,28.0
6,292,107.0,1,92,13,73.0
2,641,113.0,1,95,19,74.0
6,951,120.0,2,43,7,45.0
4,724,193.0,0,83,46,88.0
2,750,105.0,1,100,13,74.0
6,1025,77.0,1,62,13,51.0
2,954,96.0,1,93,28,79.0
2,375,26.0,1,100,25,96.0
2,727,75.0,0,91,46,82.0
6,1033,105.0,1,60,5,40.0
6,563,110.0,1,63,16,58.0
4,195,106.0,2,50,34,41.0
4,752,113.0,2,54,13,61.0
6,959,105.0,0,83,47,74.0
3,1070,90.0,1,88,41,84.0
4,1073,137.0,2,53,47,66.0
3,123,134.0,1,67,9,68.0
3,689,115.0,1,86,37,90.0
6,195,95.0,1,60,10,58.0
