rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
R,"Drama, Horror, Mystery & Suspense",98,Fresh,72,32,50
R,"Comedy, Drama",112,Rotten,37,75,54
PG-13,Comedy,102,Rotten,46,153,64
PG,Comedy,93,Rotten,54,13,36
R,"Action & Adventure, Drama, Mystery & Suspense",106,Rotten,7,115,21
PG,"Comedy, Documentary",91,Rotten,56,9,38
R,Drama,94,Rotten,31,13,58
PG-13,Comedy,98,Rotten,41,27,61
R,Drama,108,Rotten,25,8,40
NR,"Documentary, Musical & Performing Arts, Special Interest",90,Fresh,96,26,78
R,"Art House & International, Documentary, Special Interest",130,Certified Fresh,87,46,67
PG,"Documentary, Drama, Musical & Performing Arts, Special Interest",90,Fresh,73,59,73
NR,"Art House & International, Drama",138,Rotten,50,6,58
PG-13,Drama,101,Rotten,34,47,58
R,Documentary,92,Fresh,73,26,54
R,"Drama, Horror, Mystery & Suspense",98,Rotten,0,13,27
PG-13,Drama,100,Fresh,78,27,62
R,"Documentary, Special Interest",90,Fresh,83,6,55
PG,"Art House & International, Drama, Musical & Performing Arts, Romance",138,Rotten,38,21,46
NR,"Art House & International, Drama, Musical & Performing Arts, Romance",142,Fresh,67,6,72
PG-13,"Drama, Mystery & Suspense",105,Rotten,55,95,54
PG-13,"Comedy, Romance",99,Rotten,26,131,65
R,"Action & Adventure, Western",115,Certified Fresh,76,163,55
R,Drama,95,Rotten,32,71,32
PG-13,Drama,104,Certified Fresh,89,118,84
R,Comedy,97,Rotten,21,19,44
PG-13,"Comedy, Drama, Mystery & Suspense, Romance",90,Rotten,54,118,36
R,Drama,165,Rotten,17,18,54
R,"Art House & International, Drama, Horror, Mystery & Suspense",110,Rotten,9,11,33
R,"Drama, Horror, Mystery & Suspense",101,Rotten,16,148,52
R,"Drama, Mystery & Suspense",98,Rotten,12,105,18
NR,"Documentary, Special Interest",84,Fresh,82,22,47
PG,"Comedy, Drama",102,Certified Fresh,93,46,61
NR,"Art House & International, Drama, Mystery & Suspense",115,Rotten,42,24,40
PG-13,"Comedy, Drama",102,Rotten,41,123,46
PG-13,"Kids & Family, Romance",96,Rotten,16,57,52
NR,"Art House & International, Drama",151,Certified Fresh,93,54,76
PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",102,Rotten,26,189,32
R,"Art House & International, Horror, Special Interest",78,Fresh,89,35,82
R,"Comedy, Drama",102,Fresh,60,35,56
R,"Classics, Comedy, Drama, Romance",100,Rotten,38,8,32
PG-13,"Horror, Mystery & Suspense, Science Fiction & Fantasy",116,Rotten,44,155,24
PG-13,"Comedy, Drama",107,Rotten,49,35,68
R,"Drama, Mystery & Suspense",90,Rotten,31,13,26
R,"Horror, Mystery & Suspense",89,Fresh,79,19,39
PG-13,"Drama, Mystery & Suspense",122,Rotten,36,169,66
NR,"Art House & International, Drama, Romance",137,Fresh,70,66,52
NR,"Art House & International, Drama, Mystery & Suspense",93,Fresh,68,38,80
R,"Drama, Mystery & Suspense",128,Rotten,55,211,62
PG-13,"Drama, Mystery & Suspense",93,Rotten,19,31,35
R,Comedy,104,Rotten,38,42,43
R,Comedy,93,Certified Fresh,80,40,90
PG-13,"Horror, Mystery & Suspense",85,Rotten,9,65,33
PG-13,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",83,Rotten,15,99,46
R,"Horror, Mystery & Suspense",88,Rotten,49,39,25
R,"Art House & International, Mystery & Suspense",103,Fresh,64,45,64
R,"Drama, Sports & Fitness",114,Certified Fresh,92,136,80
R,"Drama, Mystery & Suspense",81,Fresh,61,36,54
R,"Drama, Mystery & Suspense",95,Fresh,70,27,69
R,Drama,92,Rotten,33,18,55
R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",111,Certified Fresh,73,213,68
PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",90,Rotten,22,126,39
R,Drama,80,Rotten,15,39,18
PG-13,Drama,110,Fresh,62,169,67
PG-13,"Comedy, Drama",114,Rotten,13,147,38
R,"Action & Adventure, Drama",140,Fresh,68,276,59
NR,"Art House & International, Drama",145,Fresh,93,14,68
R,"Art House & International, Drama, Mystery & Suspense",95,Certified Fresh,74,57,67
PG,"Classics, Western, Romance",100,Fresh,71,7,67
R,Mystery & Suspense,105,Rotten,29,7,31
R,"Drama, Mystery & Suspense",113,Fresh,77,26,81
PG,"Comedy, Drama, Kids & Family",88,Rotten,5,109,44
PG-13,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",89,Rotten,37,115,38
R,Comedy,86,Rotten,53,77,28
R,"Drama, Musical & Performing Arts",123,Rotten,51,144,65
R,"Comedy, Musical & Performing Arts",100,Rotten,45,97,58
PG,"Animation, Comedy, Kids & Family",86,Rotten,38,92,38
NR,"Documentary, Special Interest",74,Fresh,73,15,65
NR,Comedy,76,Fresh,67,6,41
PG-13,"Drama, Mystery & Suspense",95,Rotten,13,16,19
R,"Drama, Mystery & Suspense",96,Certified Fresh,88,119,89
NR,"Art House & International, Drama",99,Rotten,28,18,18
R,Drama,115,Rotten,44,25,58
PG,"Animation, Comedy, Kids & Family",88,Rotten,20,84,49
NR,"Art House & International, Comedy, Drama",150,Certified Fresh,86,132,66
R,"Comedy, Romance",95,Rotten,41,27,46
R,Drama,82,Rotten,29,7,
NR,Drama,117,Fresh,71,55,65
PG-13,Comedy,105,Rotten,31,16,41
PG-13,"Mystery & Suspense, Science Fiction & Fantasy",111,Rotten,23,126,42
R,"Action & Adventure, Drama, Mystery & Suspense",102,Fresh,61,23,82
R,"Drama, Horror, Mystery & Suspense",78,Rotten,0,18,11
PG-13,"Horror, Mystery & Suspense",88,Rotten,10,118,30
R,Action & Adventure,104,Rotten,29,17,29
PG-13,Drama,109,Rotten,29,21,75
R,"Action & Adventure, Art House & International",92,Fresh,74,34,73
PG,Drama,118,Rotten,40,20,82
R,"Art House & International, Comedy",145,Fresh,87,15,68
NR,"Documentary, Special Interest",80,Fresh,79,24,85
R,"Horror, Mystery & Suspense",82,Fresh,74,35,49
R,"Comedy, Drama, Mystery & Suspense",104,Fresh,61,38,49
NR,Romance,164,Fresh,78,9,71
PG-13,"Comedy, Romance",107,Rotten,44,187,67
R,"Comedy, Romance",99,Rotten,36,83,34
NR,"Documentary, Special Interest",111,Fresh,72,18,82
NR,Mystery & Suspense,88,Rotten,50,8,37
NR,"Classics, Drama, Romance",94,Fresh,100,12,70
R,"Drama, Horror, Mystery & Suspense",123,Rotten,56,153,63
PG-13,Drama,110,Rotten,48,136,72
R,Comedy,100,Certified Fresh,78,238,84
PG-13,"Horror, Mystery & Suspense",103,Rotten,11,62,34
PG-13,"Art House & International, Drama",131,Certified Fresh,80,108,92
NR,"Comedy, Drama",103,Fresh,100,10,67
NR,"Art House & International, Special Interest",,Fresh,81,26,100
PG-13,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",92,Rotten,11,121,30
R,Mystery & Suspense,106,Rotten,50,22,36
R,Comedy,90,Rotten,5,80,30
R,"Drama, Mystery & Suspense",96,Rotten,16,37,41
R,"Drama, Horror",84,Fresh,70,30,31
PG-13,"Drama, Mystery & Suspense",109,Fresh,71,7,58
PG-13,"Action & Adventure, Drama, Romance",106,Rotten,20,25,43
NR,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",91,Rotten,33,12,32
R,"Comedy, Drama",96,Rotten,27,33,21
NR,"Comedy, Drama, Mystery & Suspense",95,Fresh,61,23,44
NR,"Art House & International, Drama",95,Rotten,0,6,38
R,"Art House & International, Drama",125,Rotten,45,42,63
NR,"Documentary, Special Interest",100,Certified Fresh,95,66,85
R,"Drama, Romance",113,Certified Fresh,89,159,75
R,"Horror, Mystery & Suspense",87,Fresh,94,17,62
NR,"Art House & International, Drama",117,Fresh,81,26,72
NR,"Classics, Comedy, Drama, Romance",125,Certified Fresh,94,65,94
PG,"Comedy, Romance",96,Rotten,28,18,22
NR,"Classics, Drama, Horror, Science Fiction & Fantasy",62,Rotten,40,5,12
PG,"Drama, Musical & Performing Arts, Romance",107,Rotten,24,121,36
R,Documentary,90,Certified Fresh,78,60,76
PG-13,"Art House & International, Drama, Mystery & Suspense",107,Certified Fresh,84,64,79
PG,Drama,79,Fresh,65,20,35
R,"Art House & International, Drama, Horror",133,Certified Fresh,81,114,75
R,"Action & Adventure, Art House & International, Mystery & Suspense",108,Fresh,91,22,60
NR,"Documentary, Special Interest",83,Rotten,56,9,49
R,Horror,90,Rotten,38,16,47
R,"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",89,Rotten,25,52,33
R,"Comedy, Drama",104,Rotten,27,64,50
R,"Action & Adventure, Art House & International",115,Rotten,48,69,53
NR,"Art House & International, Documentary, Special Interest",87,Fresh,83,6,44
PG-13,Drama,100,Fresh,93,28,65
PG,"Action & Adventure, Science Fiction & Fantasy",125,Rotten,51,239,63
R,"Drama, Mystery & Suspense",97,Rotten,27,15,32
R,"Comedy, Drama, Science Fiction & Fantasy",85,Fresh,67,9,27
PG,"Drama, Kids & Family",102,Rotten,50,6,61
NR,Drama,81,Rotten,0,12,24
R,"Comedy, Horror, Musical & Performing Arts",96,Rotten,50,10,53
R,"Drama, Mystery & Suspense",99,Rotten,51,161,39
PG-13,Comedy,88,Rotten,11,9,39
PG-13,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",98,Fresh,81,36,46
NR,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness",84,Fresh,73,11,87
NR,"Documentary, Drama, Special Interest, Television",104,Fresh,73,15,80
R,Comedy,79,Fresh,80,5,43
G,"Action & Adventure, Comedy, Drama, Kids & Family",141,Fresh,71,38,57
R,Drama,95,Rotten,30,37,58
R,"Drama, Romance",89,Rotten,42,31,33
NR,"Documentary, Special Interest",85,Certified Fresh,83,41,84
PG,"Comedy, Drama",93,Fresh,80,5,50
PG,"Drama, Kids & Family, Romance",107,Rotten,20,118,66
PG,"Documentary, Special Interest",79,Fresh,68,113,62
PG-13,Comedy,99,Rotten,35,81,44
R,"Comedy, Romance",97,Rotten,53,165,52
PG-13,"Comedy, Drama",112,Rotten,29,149,61
R,"Drama, Horror, Mystery & Suspense",92,Rotten,13,8,32
R,"Drama, Horror, Mystery & Suspense",94,Fresh,63,95,46
PG,"Documentary, Special Interest",86,Fresh,86,29,79
PG-13,"Drama, Mystery & Suspense",68,Certified Fresh,84,205,70
