rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
6,782,96,2,27,33,21
2,806,95,1,61,23,44
2,557,95,2,0,6,38
6,557,125,2,45,42,63
2,940,100,0,95,66,85
6,1006,113,0,89,159,75
6,1033,87,1,94,17,62
2,557,117,1,81,26,72
2,641,125,0,94,65,94
3,860,96,2,28,18,22
2,696,62,2,40,5,12
3,990,107,2,24,121,36
6,884,90,0,78,60,76
4,579,107,0,84,64,79
3,951,79,1,65,20,35
6,560,133,0,81,114,75
6,123,108,1,91,22,60
2,940,83,2,56,9,49
6,1025,90,2,38,16,47
6,119,89,2,25,52,33
6,782,104,2,27,64,50
6,54,115,2,48,69,53
2,551,87,1,83,6,44
4,951,100,1,93,28,65
3,334,125,2,51,239,63
6,995,97,2,27,15,32
6,814,85,1,67,9,27
3,973,102,2,50,6,61
2,951,81,2,0,12,24
6,827,96,2,50,10,53
6,995,99,2,51,161,39
4,752,88,2,11,9,39
4,1054,98,1,81,36,46
2,541,84,1,73,11,87
2,903,104,1,73,15,80
6,752,79,1,80,5,43
0,206,141,1,71,38,57
6,951,95,2,30,37,58
6,1006,89,2,42,31,33
2,940,85,0,83,41,84
3,782,93,1,80,5,50
3,979,107,2,20,118,66
3,940,79,1,68,113,62
4,752,99,2,35,81,44
6,860,97,2,53,165,52
4,782,112,2,29,149,61
6,959,92,2,13,8,32
6,959,94,1,63,95,46
3,940,86,1,86,29,79
4,995,68,0,84,205,70
6,334,119,2,22,151,41
6,599,110,1,86,14,68
2,782,98,1,80,30,51
6,951,99,0,94,169,76
6,782,104,0,93,222,74
6,940,87,1,60,5,39
6,752,93,2,26,53,48
6,995,97,2,0,20,39
6,995,92,2,0,8,35
6,951,117,2,50,26,72
6,315,107,1,65,198,52
4,940,82,1,84,31,76
2,940,96,1,91,23,79
2,998,96,1,82,11,74
3,940,80,1,62,13,76
6,292,91,0,98,42,80
3,911,96,1,64,11,47
3,747,65,1,75,12,21
6,292,94,2,33,6,26
6,1033,101,2,0,5,21
0,1051,105,2,36,11,60
3,308,92,1,91,11,71
3,618,102,1,97,30,80
2,693,129,1,63,27,83
3,646,96,1,92,38,62
2,160,118,1,100,6,83
2,1010,120,0,95,64,90
2,951,93,1,82,22,46
4,782,105,2,31,13,43
6,292,112,2,42,12,52
6,195,95,1,67,6,43
3,752,98,2,44,16,69
3,712,90,1,100,29,90
3,712,116,0,97,64,91
6,579,99,1,67,6,26
2,160,123,1,90,10,
4,730,119,0,95,55,83
6,1033,93,1,71,31,75
3,320,97,2,40,30,45
2,129,122,1,100,11,67
6,292,125,2,52,21,55
6,282,165,1,69,26,64
6,995,102,2,48,21,40
2,712,86,1,86,21,65
4,782,95,2,21,24,43
2,716,123,1,100,9,67
2,727,70,2,38,13,45
2,452,103,0,95,44,87
0,693,73,1,100,12,38
6,292,1,1,80,10,53
2,626,103,1,95,22,86
6,712,120,1,86,14,49
3,279,130,1,78,18,72
6,292,130,1,69,32,67
3,1066,106,2,59,17,55
3,0,96,2,33,9,42
3,752,102,2,36,22,55
0,723,73,1,85,13,82
2,716,86,0,91,43,91
0,177,93,1,89,9,70
2,716,102,1,95,22,71
4,160,96,1,75,8,25
3,731,99,2,29,7,25
6,782,103,2,27,11,40
0,811,96,1,79,14,62
3,193,110,0,90,49,92
0,653,112,1,89,28,66
0,665,101,1,75,20,88
0,137,179,2,44,16,70
2,716,108,1,92,13,84
2,712,106,1,100,20,86
2,129,119,1,100,25,89
3,129,106,1,94,16,89
6,650,80,1,86,35,73
6,1025,98,0,92,66,77
3,716,102,0,98,83,95
0,130,150,2,26,38,35
2,730,70,1,94,16,74
3,689,108,1,97,35,92
6,966,73,0,93,46,73
6,959,119,1,61,46,45
2,712,90,1,100,8,78
3,1019,123,2,38,21,82
2,689,99,1,93,14,74
0,637,115,1,95,39,92
0,419,93,1,76,21,67
2,689,135,1,83,6,74
6,752,95,2,20,5,18
6,878,93,2,36,25,40
3,951,108,1,75,12,79
0,702,99,1,100,12,74
0,618,101,1,88,17,75
3,793,93,0,89,57,88
2,725,130,2,55,20,25
0,689,246,1,61,36,69
2,667,88,1,89,18,73
6,279,120,1,81,32,72
3,327,113,1,80,25,66
6,0,90,1,70,33,67
3,279,106,2,43,14,73
2,264,101,1,80,5,28
2,689,104,1,86,7,78
2,661,107,1,95,19,70
0,676,79,1,85,33,73
6,951,99,1,73,15,82
6,786,91,2,25,8,22
2,635,110,1,76,17,70
0,689,72,1,80,5,61
6,951,120,1,93,30,83
2,995,85,1,67,6,57
2,438,124,1,69,13,71
2,1025,96,1,83,36,75
0,719,92,0,95,55,87
2,689,138,1,100,10,89
6,223,97,2,11,9,49
2,712,100,1,67,6,67
3,951,130,1,67,21,81
3,1020,135,1,100,8,75
6,598,89,1,60,10,65
2,712,112,1,86,7,79
2,727,80,2,20,5,28
6,292,107,1,92,13,73
2,641,113,1,95,19,74
6,951,120,2,43,7,45
4,724,193,0,83,46,88
2,750,105,1,100,13,74
6,1025,77,1,62,13,51
2,954,96,1,93,28,79
2,375,26,1,100,25,96
2,727,75,0,91,46,82
6,1033,105,1,60,5,40
6,563,110,1,63,16,58
4,195,106,2,50,34,41
4,752,113,2,54,13,61
6,959,105,0,83,47,74
3,1070,90,1,88,41,84
4,1073,137,2,53,47,66
3,123,134,1,67,9,68
3,689,115,1,86,37,90
6,195,95,1,60,10,58
6,1033,96,2,29,14,29
2,557,110,1,86,7,78
3,951,123,0,91,47,93
6,292,96,1,79,28,59
2,712,87,1,88,8,70
6,334,99,0,85,62,76
0,689,208,1,67,15,70
6,1033,102,1,75,12,38
2,747,113,1,81,36,72
6,995,94,2,43,14,33
3,782,91,2,50,6,78
3,1006,165,1,72,25,77
6,712,97,1,80,20,74
6,995,120,0,75,48,71
0,626,93,1,93,30,74
3,247,111,1,80,40,69
6,752,110,2,38,13,61
6,279,128,1,81,16,63
2,160,147,1,90,21,81
0,163,87,2,40,5,49
2,731,94,1,95,39,71
6,967,96,0,92,60,83
2,160,101,1,67,9,69
3,990,107,2,51,39,71
2,55,99,1,100,9,86
6,292,120,0,78,41,64
0,840,95,1,70,23,57
6,1025,106,1,91,35,76
0,716,118,0,92,52,84
0,419,30,1,73,15,72
2,951,99,1,86,7,61
3,752,96,2,58,12,51
3,752,101,1,65,20,50
6,961,118,1,78,27,49
6,313,80,2,33,12,29
3,557,110,0,91,44,83
6,689,109,1,78,9,77
6,54,102,1,67,9,63
6,811,79,0,92,52,92
6,160,122,1,85,20,82
3,663,98,2,33,6,51
3,213,123,1,92,26,80
6,951,122,0,93,43,93
2,664,81,1,89,9,59
3,255,105,2,43,14,66
3,860,110,1,83,18,84
2,438,114,1,82,17,87
